college_id,university_id,college_name,university_name,college_type,state,district
C-39230,U-0003,Aazad College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-39450,U-0003,Abhinav Institute of Management & Technology,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-32630,U-0003,Abhyudaya Mahila Degree College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32735,U-0003,A.B.M. College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-39231,U-0003,A.B.R College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-32762,U-0003,A.C.College (Day),"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32792,U-0003,A.C.College of Law,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32720,U-0003,A.C.Evening College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32793,U-0003,Acharya N.G.Ranga College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32801,U-0003,Adarsa College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-32733,U-0003,Adarsa Degree College for Women,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32664,U-0003,A.G.K.M.College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32711,U-0003,A.L.College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-39243,U-0003,Ali College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-39261,U-0003,AL Momin College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-39238,U-0003,Alpha College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-44489,U-0003,"Alpha College of Education, Kanigiri","Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-32797,U-0003,Alpha Degree College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-39227,U-0003,Aman Showkath B.Ed College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32649,U-0003,A.M.G.College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32769,U-0003,A.M.G.Degree College for Women,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-37211,U-0003,A.M Reddy College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-39491,U-0003,A.M. Reddy Memorial College of Pharmacy,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-39232,U-0003,Amrutha College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-44105,U-0003,Amrutha Degree College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-39275,U-0003,Andhra Kesari College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-32631,U-0003,Andhra Kesari Vidya Kendram Degree College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-32727,U-0003,Andhra Muslim College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-36923,U-0003,Andhra Muslim College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-39241,U-0003,Anitha Venkateswara College of Eduation,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32656,U-0003,Annabattuni Satyanarayana Degree College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32740,U-0003,Anniebesant College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-32629,U-0003,ANU PG Campus Ongole,"Acharya Nagarjuna University, Guntur",PG Center / Off-Campus Center,Andhra Pradesh,Prakasam
C-32778,U-0003,A.P.Residential Degree College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-39244,U-0003,Asha College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-39265,U-0003,A.S.M & A.W. D Women's Degree College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-39489,U-0003,"A.S.N Pharmacy College, Tenali","Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-39269,U-0003,B.A & K.R College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-32771,U-0003,B.A & K.R Degree College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-32669,U-0003,Balaji Degree College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32779,U-0003,Bapatla College of Arts & Science,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-42660,U-0003,Bapatla Engineering College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-39453,U-0003,Bapatla Womens Engineering College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-39240,U-0003,Bapuji College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32756,U-0003,B.B.H Degree College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-40608,U-0003,"B.G Degree College, Sattenapalli","Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32667,U-0003,Bharathi Degree College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-39234,U-0003,Bhashyam College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32803,U-0003,B.H.H Degree College for Women,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-39300,U-0003,"B.M.Degree College, P.Dornala","Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-39237,U-0003,BMRM Jhansi B.Ed College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-37221,U-0003,B.R College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32652,U-0003,B.S.S.B College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32663,U-0003,B.V.S.P.M Degree College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-32782,U-0003,Career Degree College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-42659,U-0003,"Chaitanya Bharathi Degree College, Chirala","Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-32763,U-0003,Chaitanya College of Education,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-39308,U-0003,"Chakradhar Degree College, Macherla","Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-42706,U-0003,"Chalapathi Degree College, Lam","Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-39475,U-0003,"Chalapathi Institute of Engineering & Technology, Lam","Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-39486,U-0003,"Chalapathi Institute of Pharmaceutical Sciences, Lam","Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-39452,U-0003,Chebrolu Hanumaiah College of Pharmaceutical Sciences,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-39466,U-0003,Chegireddy Linga Reddy Instt of Management,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Prakasam
C-39457,U-0003,"Chirala College of PG Studies, Chirala","Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32703,U-0003,Chiristian Women's College,"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
C-32819,U-0003,Christu Jayanthi Jubilee College (P.G.),"Acharya Nagarjuna University, Guntur",Affiliated College,Andhra Pradesh,Guntur
