state,sl_no,college_name
andaman & nicobar islands,2,MAHATMA GANDHI GOVERNMENT COLLEGE
andaman & nicobar islands,3,SANKETIKA VIDYA PARISHAD ENGINEERING COLLEGE
andaman & nicobar islands,4,S.M.B.T.A.V.AND S.N.DEGREE COLLEGE
andaman & nicobar islands,5,SRINIVASARAO COLLEGE OF PHARMACY
andaman & nicobar islands,6,SRI SUNFLOWER COLLEGE OF ENGINEERING AND TECHNOLOGY
andaman & nicobar islands,7,KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY
andaman & nicobar islands,8,ADITYA COLLEGE OF ENGINEERING
andaman & nicobar islands,9,VISWANADHA INSTITUTE OF TECHNOLOGY AND MANAGEMENT
andaman & nicobar islands,10,RAJAMAHENDRI INSTITUTE OF ENGINEERING AND TECHNOLOGY
andaman & nicobar islands,11,DR K V SUBBA REDDY INSTITUTE OF TECHNOLOGY
andaman & nicobar islands,12,ADARSH COLLEGE OF ENGINEERING
andaman & nicobar islands,13,AVANTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY
andaman & nicobar islands,14,CHEBROLU ENGINEERING COLLEGE
andaman & nicobar islands,15,CHEBROLU ENGINEERING COLLEGE
andaman & nicobar islands,16,NARAYANA COLLEGE OF NURSING
andaman & nicobar islands,17,ST. JOSEPH'S COLLEGE FOR WOMEN(AUTONOMOUS)
andaman & nicobar islands,18,SEICOM DEGREE COLLEGE
andaman & nicobar islands,19,MOTHER THERESA INSTITUTE OF ENGINEERING AND TECHNOLOGY
andaman & nicobar islands,20,MOTHER THERESA INSTITUTE OF ENGINEERING AND TECHNOLOGY
andaman & nicobar islands,21,ANANTHA LAKSHMI INSTITUTE OF TECHNOLOGY AND SCIENCES
andaman & nicobar islands,22,SRI VENKATESWARA ENGINEERING COLLEGE FOR WOMEN
andaman & nicobar islands,23,PRAKASAM ENGINEERING COLLEGE
andaman & nicobar islands,24,SAI TIRUMALA NALABOTHU VENKATA RAO ENGINEERING COLLEGE
andaman & nicobar islands,25,SRI MITTAPALLI COLLEGE OF ENGINEERING
andaman & nicobar islands,26,SRI MITTAPALLI COLLEGE OF ENGINEERING
andaman & nicobar islands,27,NARAYANA ENGINEERING COLLEGE
andaman & nicobar islands,28,"GOVERNMENT DEGREE COLLEGE, RAYACHOTI"
andaman & nicobar islands,29,SREE VAHINI INSTITUTE OF SCIENCE AND TECHNOLOGY
andhra pradesh,30,SATYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT
andhra pradesh,31,K. T. S. GOVT. DEGREE COLLEGE
andhra pradesh,32,"S.Y.T.R. GOVERNMENT DEGREE COLLEGE,MADAKASIRA"
andhra pradesh,33,VISAKHA INSTITUTE OFENGINEERING AND TECHNOLOGY
andhra pradesh,34,NARAYANA ENGINEERING COLLEGE
andhra pradesh,35,GATES INSTITUTE OF TECHNOLOGY
andhra pradesh,36,GATES INSTITUTE OF TECHNOLOGY DR PINNAMANENI SIDDHARTHA INSTITUTE OF MEDICAL SCIENCES AND
andhra pradesh,37,RESEARCH FOUNDATION
andhra pradesh,38,SRI KAMISETTY SUBBA RAO CHENNAMMA DEGREE COLLEGE
andhra pradesh,39,DNR COLLEGE OF ENGINEERING AND TECHNOLOGY
andhra pradesh,40,SRI VASAVI INSTITUTE OF ENGINEERING AND TECHNOLOGY
andhra pradesh,41,BVC COLLEGE OF ENGINEERING
andhra pradesh,42,VIKAS COLLEGE OF ENGINEERING AND TECHNOLOGY
andhra pradesh,43,GDMM COLLEGE OF ENGINEERING AND TECHNOLOGY
andhra pradesh,44,GEETHANJALI INSTITUTE OF SCIENCE AND TECHNOLOGY POTTI SRIRAMULU CHALAVADI MALLIKARJUNA RAO COLLEGE OF
andhra pradesh,45,ENGINEERING AND TECHNOLOGY
andhra pradesh,46,BESANT THEOSOPHICAL COLLEGE
andhra pradesh,47,D.K.Government College for Women
andhra pradesh,48,UNIVERSAL COLLEGE OF ENGINEERING AND TECHNOLOGY
andhra pradesh,49,"SSGS DEGREE COLLEGE, GUNTAKAL"
andhra pradesh,50,ANDHRA LOYOLA INSTITUTE OF ENGINEERING AND TECHNOLOGY
andhra pradesh,51,ANDHRA LOYOLA INSTITUTE OF ENGINEERING AND TECHNOLOGY
andhra pradesh,52,CHEBROLU HANUMAIAH INSTITUTE OF PHARMACEUTICAL SCIENCES
andhra pradesh,53,MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS
andhra pradesh,54,GOVERNMENT COLLEGE FOR MEN
andhra pradesh,55,LENORA COLLEGE OF ENGINEERING
andhra pradesh,56,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING FOR WOMEN
andhra pradesh,57,G PULLA REDDY DENTAL COLLEGE AND HOSPITAL
andhra pradesh,58,DUVVURU RAMANAMMA WOMENS COLLEGE
andhra pradesh,59,SREE VENKATESWARA COLLEGE OF ENGINEERING
andhra pradesh,60,SANTHIRAM ENGINEERING COLLEGE
andhra pradesh,61,VIJAYA INSTITUTE OF PHARMACEUTICAL SCIENCES FOR WOMEN
andhra pradesh,62,SRK INSTITUTE OF TECHNOLOGY
andhra pradesh,63,SAI RAJESWARI INSTITUTE OF TECHNOLOGY
andhra pradesh,64,VIKAS INSTITUTE OF PHARMACEUTICAL SCIENCES
andhra pradesh,65,VIJAYAM SCIENCE AND ARTS DEGREE COLLEGE
andhra pradesh,66,ST. ANN'S COLLEGE FOR WOMEN
andhra pradesh,67,S.G.S. ARTS COLLEGE
andhra pradesh,68,RAVINDRA COLLEGE OF ENGINEERING FOR WOMEN
andhra pradesh,69,RISE KRISHNA SAI PRAKASAM GROUP OF INSTITUTIONS
andhra pradesh,70,INTERNATIONAL SCHOOL OF TECHNOLOGY AND SCIENCES FOR WOMEN
andhra pradesh,71,SHRI GNANAMBICA DEGREE COLLEGE
andhra pradesh,72,ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCES
andhra pradesh,73,NARASARAOPETA INSTITUTE OF PHARMACEUTICAL SCIENCES
andhra pradesh,74,SRI VANI DEGREE AND PG COLLEGE
andhra pradesh,75,GOVERNMENT COLLEGE FOR WOMEN
andhra pradesh,76,ADITYA COLLEGE OF PHARMACY
andhra pradesh,77,ADITYA PHARMACY COLLEGE
andhra pradesh,78,NRI INSTITUTE OF TECHNOLOGY
andhra pradesh,79,IDEAL INSTITUTE OF TECHNOLOGY
andhra pradesh,80,LINGAYAS INSTITUTE OF MANAGEMENT AND TECHNOLOGY
andhra pradesh,81,GOVERNMENT COLLEGE (AUTONOMOUS)
andhra pradesh,82,MALINENI LAKSHMAIAH WOMEN'S ENGINEERING COLLEGE
andhra pradesh,83,GSL DENTAL COLLEGE AND HOSPITAL
andhra pradesh,84,SDHR DEGREE AND PG COLLEGE
andhra pradesh,85,RAMIREDDY SUBBARAMI REDDY ENGINEERING COLLEGE PARVATHANENI BRAHMAYYA SIDDHARTHA COLLEGE OF ARTS AND SCIENCE
andhra pradesh,86,(AUTONOMOUS)
andhra pradesh,87,K.T.R.WOMENS COLLEGE
andhra pradesh,88,DANTULURI NARAYANA RAJU COLLEGE(D.N.R) AUTONOMOUS
andhra pradesh,89,GOVERNMENT COLLEGE FOR MEN KURNOOL
andhra pradesh,90,Sir C R Reddy College
andhra pradesh,91,S.C.I.M. Govt. College
andhra pradesh,92,"S.V.A. GOVT. COLLEGE, SRIKALAHASTI"
andhra pradesh,93,KVR GOVERNMENT COLLEGE FOR WOMEN (A)
andhra pradesh,94,A. S. D. GOVERNMENT DEGREE COLLEGE FOR WOMEN
andhra pradesh,95,SRI VENKATESWARA ARTS COLLEGE (S V ARTS COLLEGE)
andhra pradesh,96,"GOVT. DEGREE COLLEGE, PUTTUR"
andhra pradesh,97,IDEAL COLLEGE OF ARTS AND SCIENCES
andhra pradesh,98,GOVERNMENT DEGREE COLLEGE FOR WOMEN
andhra pradesh,99,LOYALA DEGREE COLLEGE (YSRR) SRI DURGA MALLESWARA SIDDHARTHA MAHILA KALASALA
andhra pradesh,100,(S.D.M.S.M.KALASALA)
andhra pradesh,101,V.S.R AND N.V.R COLLEGE
andhra pradesh,102,KBN COLLEGE
andhra pradesh,103,Sri Padmavathi Womens' Degree and PG College
andhra pradesh,104,SKSD MAHILA KALASALA UG AND PG (AUTONOMOUS)
andhra pradesh,105,K.S.N. GOVERNMENT DEGREE COLLEGE FOR WOMEN
andhra pradesh,106,C.S.T.S.GOVERNMENT KALASALA
andhra pradesh,107,M.S.NAICKER DEGREE COLLEGE
andhra pradesh,108,N B K R SCIENCE AND ARTS COLLEGE
andhra pradesh,109,KAKANI VENKATA RATNAM COLLEGE GAYATRI VIDYA PARISHAD COLLEGE FOR DEGREE AND PG COURSES
andhra pradesh,110,(AUTONOMOUS)
andhra pradesh,111,V. S. M. COLLEGE
andhra pradesh,112,MVR DEGREE COLLEGE
andhra pradesh,113,SDGS DEGREE COLLEGE (AIDED)
andhra pradesh,114,GOVERNMENT DEGREE COLLEGE PADERU
andhra pradesh,115,N.B.K.R. INSTITUTE OF SCIENCE AND TECHNOLOGY
andhra pradesh,116,PEDANANDIPADU COLLEGE OF ARTS AND SCIENCES
andhra pradesh,117,MAHARAJAH'S COLLEGE(AUTONOMOUS)
andhra pradesh,118,MAHARAJ VIJAYARAM GAJAPATHI RAJ COLLEGE OF ENGINEERING
andhra pradesh,119,ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCES
andhra pradesh,120,GMR INSTITUTE OF TECHNOLOGY
andhra pradesh,121,SHRI VISHNU COLLEGE OF PHARMACY
andhra pradesh,122,ADITYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT
andhra pradesh,123,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY
andhra pradesh,124,AUDISANKARA COLLEGE OF ENGINEERING AND TECHNOLOGY
andhra pradesh,125,MARIS STELLA COLLEGE (AUTONOMOUS)
andhra pradesh,126,J.M.J. COLLEGE FOR WOMEN
andhra pradesh,127,R.V.R. AND J.C. COLLEGE OF ENGINEERING
