category,institute_id,name,city,state,score,rank
Overall,IR-O-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,87.31,1
Overall,IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,85.0,2
Overall,IR-O-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,81.62,3
Overall,IR-O-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,80.67,4
Overall,IR-O-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,77.25,5
Overall,IR-O-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,73.99,6
Overall,IR-O-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,71.73,7
Overall,IR-O-N-15,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,70.57,8
Overall,IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,69.62,9
Overall,IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,68.71,10
Overall,IR-O-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,67.67,11
Overall,IR-O-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,67.04,12
Overall,IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,66.99,13
Overall,IR-O-U-0234,Manipal Academy of Higher Education-Manipal,Manipal,Karnataka,66.86,14
Overall,IR-O-U-0120,University of Delhi,Delhi,Delhi,66.19,15
Overall,IR-O-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,65.06,16
Overall,IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,64.97,17
Overall,IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,64.34,18
Overall,IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,63.76,19
Overall,IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,63.03,20
Overall,IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,62.88,21
Overall,IR-O-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,62.87,22
Overall,IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,62.23,23
Overall,IR-O-U-0101,Indian Agricultural Research Institute,New Delhi,Delhi,61.59,24
Overall,IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,61.01,25
Overall,IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,60.32,26
Overall,IR-O-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,60.13,27
Overall,IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,60.13,27
Overall,IR-O-U-0439,Anna University,Chennai,Tamil Nadu,60.06,29
Overall,IR-O-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,60.05,30
Overall,IR-O-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,60.03,31
Overall,IR-O-U-0747,Chandigarh University,Mohali,Punjab,59.55,32
Overall,IR-O-U-0079,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,59.15,33
Overall,IR-O-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,58.55,34
Overall,IR-O-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,58.33,35
Overall,IR-O-U-0064,Indian Institute of Technology Patna,Patna,Bihar,57.63,36
Overall,IR-O-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,57.49,37
Overall,IR-O-U-0222,JSS Academy of Higher Education and Research,Mysuru,Karnataka,57.43,38
Overall,IR-O-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,57.01,39
Overall,IR-O-U-0329,Symbiosis International,Pune,Maharashtra,56.86,40
Overall,IR-O-U-0006,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,56.62,41
Overall,IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,56.26,42
Overall,IR-O-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,56.23,43
