state,total,accredited,pct
chhattisgarh,633,199,31.4
jharkhand,279,57,20.4
karnataka,3474,661,19.0
jammu & kashmir,349,64,18.3
assam,548,97,17.7
kerala,1127,190,16.9
maharashtra,5000,839,16.8
tamil nadu,2446,369,15.1
delhi,219,32,14.6
madhya pradesh,3297,338,10.3
himachal pradesh,309,30,9.7
west bengal,998,92,9.2
telangana,2337,212,9.1
punjab,1004,61,6.1
andhra pradesh,2546,137,5.4
gujarat,2038,105,5.2
uttarakhand,412,18,4.4
odisha,1110,41,3.7
haryana,1090,36,3.3
bihar,699,20,2.9
uttar pradesh,5171,98,1.9
rajasthan,2749,20,0.7
