institute_id,category,institute_name,intake_total_2022_23,student_strength_total,student_strength_male,student_strength_female,faculty_count,phd_students_fulltime,phd_students_parttime,phd_graduated_2022_23,placement_median_salary_inr,capital_expenditure_2022_23,operational_expenditure_2022_23,sponsored_projects_2022_23,sponsored_amount_2022_23,nirf_score,nirf_rank,scorecard_year
IR-G-C-45375,Agriculture,"National Institute of Food Technology, Entrepreneurship and Management",126,310,164,146,37,19.0,0.0,22.0,450000,36567183,223412651,22.0,21086478.0,58.76,13.0,2024
IR-G-U-0443,Agriculture,Annamalai University,940,3558,1872,1686,267,199.0,41.0,33.0,422300,4216236,682562083,4.0,14810500.0,47.3,38.0,2024
IR-G-U-0458,Agriculture,Kalasalingam Academy of Research and Education,120,480,221,259,33,0.0,0.0,0.0,312000,10612371,85389984,2.0,6572000.0,,,2024
IR-G-U-0485,Agriculture,Tamil Nadu Agricultural University,2793,8176,2894,5282,934,451.0,0.0,207.0,550000,302848363,6995769506,490.0,909105617.0,67.06,6.0,2024
IR-G-U-0487,Agriculture,Tamil Nadu Veterinary and Animal Sciences University,874,2855,1265,1590,662,36.0,0.0,20.0,900000,182646462,2904973616,201.0,524907984.0,52.91,26.0,2024
IR-G-U-0665,Agriculture,Tamil Nadu Dr.J.Jayalalithaa Fisheries University,226,705,297,408,93,103.0,21.0,11.0,450000,60536169,439541222,12.0,56631663.0,,,2024
IR-A-C-26794,Architecture,Thiagarajar College of Engineering,100,430,182,248,49,,,,450000,2426193,23454185,3.0,480000.0,52.56,33.0,2024
IR-A-U-0439,Architecture,Anna University,180,492,193,299,32,,,,480000,1052018,73936845,0.0,32214.0,54.6,28.0,2024
IR-A-U-0445,Architecture,B. S. Abdur Rahman Crescent Institute of Science and Technology,100,314,186,128,79,,,,456000,9712113,32300746,0.0,6689637.0,,,2024
IR-A-U-0461,Architecture,Dr. M. G. R. Educational and Research Institute,120,473,188,285,59,,,,740000,17714796,94573268,7.0,6395400.0,53.26,32.0,2024
IR-A-U-0467,Architecture,National Institute of Technology Tiruchirappalli,82,334,162,172,17,,,,600000,21369930,75043469,0.0,,64.3,9.0,2024
IR-A-U-0473,Architecture,S.R.M. Institute of Science and Technology,100,321,173,148,34,,,,800000,24528033,91179639,6.0,1683780.0,58.63,18.0,2024
IR-C-C-28526,College,Alagappa Government Arts College,1373,3843,1288,2555,183,,,,151000,458899,197359114,,,56.8,76.0,2024
